cash,fiscal_quarter,fiscal_year,period_end_date,revenue,shares_outstanding,ticker,total_debt
,Q3,2020,2020-09-30,151548000.0,0.0,MAX,
16469000.0,Q4,2018,2018-12-31,-50000.0,,MBIO,0.0
15619000.0,Q2,2021,2021-06-30,-35000.0,7108133.0,MBOT,
13428000.0,Q3,2021,2021-09-30,-3000.0,7108133.0,MBOT,
94841000.0,Q1,2023,2023-03-31,-522000.0,125862975.0,MCRB,51234000.0
6121000.0,Q4,2021,2021-12-31,-212000.0,7217000.0,MDIA,100281000.0
60473000.0,Q4,2024,2024-12-31,-1718667000.0,210349456.0,MDU,2166223000.0
2827000.0,Q4,2025,2025-12-31,-4369000.0,1641627.0,MOVE,4635000.0
77852000.0,Q4,2020,2020-06-30,-6960000.0,23942000.0,MSGS,350000000.0
39095000.0,Q3,2019,2019-09-30,-385.0,,NKTX,
1243703000.0,Q4,2020,2020-12-31,-371768000.0,353664860.0,NLY,426256000.0
1342090000.0,Q4,2021,2021-12-31,-1491238000.0,357142251.0,NLY,
3944000.0,Q1,2019,2019-03-31,-6934000.0,371448566.0,NOG,
3335000.0,Q1,2022,2022-03-31,-32930000.0,76922543.0,NOG,1119500000.0
-14418110.0,Q2,2021,2021-06-30,,,NPWR,
125887.0,Q3,2020,2020-09-30,26396000.0,0.0,NRDY,300000.0
25565000.0,Q1,2021,2021-03-31,34565000.0,0.0,NRDY,2000000.0
14718000.0,Q2,2021,2021-06-30,32786000.0,0.0,NRDY,2000000.0
226748000.0,Q4,2023,2023-12-31,-1917000.0,88770000.0,NTLA,
169319000.0,Q4,2019,2019-12-31,-15690000.0,21157996.0,NTST,173913000.0
138919000.0,Q2,2021,2021-06-30,,45971469.0,NUVL,-284000.0
9469000.0,Q1,2025,2025-03-31,-16264000.0,44517013.0,NXDT,346347000.0
4730000.0,Q2,2025,2025-06-30,-30969000.0,47421929.0,NXDT,319745000.0
8166000.0,Q4,2025,2025-12-31,-17474000.0,50132605.0,NXDT,309634000.0
9428000.0,Q1,2026,2026-03-31,-4494000.0,50219590.0,NXDT,280354000.0
18571000.0,Q4,2025,2025-12-31,-193000.0,312379972.0,OCGN,33144000.0
0.0,Q4,2020,2020-12-31,-75571000.0,56625650.0,ONL,
440756000.0,Q2,2025,2025-06-30,-28582000.0,126566926.0,ORC,
674020000.0,Q1,2026,2026-03-31,-12558000.0,196700226.0,ORC,
31174880.0,Q4,2025,2025-12-31,-12908371.0,24583775.0,OSS,1468959.0
55512178.0,Q3,2020,2020-09-30,-152541.0,49433473.0,PAYS,315874.0
36423000.0,Q4,2021,2021-12-31,-17392000.0,197759900.0,PGEN,183151000.0
4858000.0,Q4,2022,2022-12-31,-24745000.0,200360821.0,PGEN,43219000.0
1955000.0,Q4,2022,2022-12-31,-10500000.0,1979634.0,PHUN,9667000.0
61139000.0,Q4,2022,2022-12-31,-9000.0,33935000.0,PLSE,
1312404000.0,Q4,2020,2020-12-31,-309099000.0,354790106.0,PLUG,25389000.0
884274.0,Q4,2019,2020-03-31,-7253135.0,,POWW,1775856.0
30227796.0,Q1,2025,2025-03-31,-42159090.0,116814190.0,POWW,1555335.0
211000.0,Q4,2018,2018-12-31,-15494000.0,8726000.0,PPSI,3793000.0
3582000.0,Q4,2023,2023-12-31,-22174000.0,10127188.0,PPSI,
56082017.0,Q3,2021,2021-09-30,-60486.0,57079291.0,PPTA,
47852846.0,Q4,2021,2021-12-31,-166730.0,54530322.0,PPTA,
131152000.0,Q1,2021,2021-03-31,-252000.0,38470710.0,PRAX,
175879000.0,Q2,2021,2021-06-30,-424000.0,41569782.0,PRAX,
