accepted_at_utc,accepted_source_provider,capex,cash,created_at_utc,currency,derivation_method,ebit,ebitda,fiscal_quarter,fiscal_year,free_cashflow,gross_profit,net_income,operating_cashflow,operating_income,period_end_date,publish_date,quarter_id,resolution_issue_id,revenue,shares_outstanding,ticker,total_debt,update_run_id,updated_at_utc
2026-08-23T09:28:17Z,V2,-17467000.0,200801000.0,2026-08-23T074231Z,,,155834000.0,169866000.0,Q1,2020,77891000.0,340157000.0,121602000.0,95358000.0,155834000.0,2020-03-22,2020-04-23,32991,,873102000.0,39633404.0,DPZ,4104588000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-16265000.0,247952000.0,2026-08-23T074231Z,,,163583000.0,178340000.0,Q2,2020,100205000.0,357091000.0,118668000.0,116470000.0,163583000.0,2020-06-14,2020-07-16,32990,,920023000.0,39746479.0,DPZ,4171575000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-17431000.0,330719000.0,2026-08-23T074231Z,,,162181000.0,177508000.0,Q3,2020,141140000.0,361981000.0,99129000.0,158571000.0,162181000.0,2020-09-06,2020-10-08,32989,,967719000.0,39791805.0,DPZ,4105837000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T16:02:25Z,LEGACY,-37605000.0,168821000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DERIVED:operating_cashflow + capex""}",244044000.0,264966000.0,Q4,2020,184790000.0,535264000.0,151897000.0,222395000.0,244044000.0,2021-01-03,2021-02-25,32988,,1356567000.0,39640791.0,DPZ,4118873000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-23T09:28:17Z,V2,-16561000.0,267719000.0,2026-08-23T074231Z,,,186538000.0,203003000.0,Q1,2021,136290000.0,389151000.0,117761000.0,152851000.0,186538000.0,2021-03-28,2021-04-29,32986,,983698000.0,39208383.0,DPZ,4119789000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-16602000.0,292095000.0,2026-08-23T074231Z,,,190902000.0,208078000.0,Q2,2021,125962000.0,407690000.0,116619000.0,142564000.0,190902000.0,2021-06-20,2021-07-22,32985,,1032472000.0,38122515.0,DPZ,5081534000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-17489000.0,295352000.0,2026-08-23T074231Z,,,180280000.0,196858000.0,Q3,2021,171697000.0,385200000.0,120402000.0,189186000.0,180280000.0,2021-09-12,2021-10-14,32984,,997990000.0,37130209.0,DPZ,5069551000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T16:02:25Z,LEGACY,-43520000.0,148160000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DERIVED:operating_cashflow + capex""}",222688000.0,245392000.0,Q4,2021,126085000.0,506201000.0,155685000.0,169605000.0,222688000.0,2022-01-02,2022-03-01,32983,,1343213000.0,37691351.0,DPZ,5070226000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-23T09:28:17Z,V2,-12454000.0,164962000.0,2026-08-23T074231Z,,,164541000.0,183517000.0,Q1,2022,66335000.0,368624000.0,90964000.0,78789000.0,164541000.0,2022-03-27,2022-04-28,32982,,1011149000.0,36435038.0,DPZ,5057724000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T16:02:25Z,V2,-17844000.0,114776000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",176452000.0,232478000.0,Q3,2022,158895000.0,381850000.0,100504000.0,176739000.0,176452000.0,2022-09-11,2022-10-13,32981,,1068596000.0,36062316.0,DPZ,5153079000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-23T16:02:25Z,V2,4363000.0,60356000.0,2026-08-23T074231Z,,,767925000.0,251870000.0,Q4,2022,149526000.0,511867000.0,158302000.0,145163000.0,767925000.0,2022-12-31,2025-02-24,32980,,1392231000.0,,DPZ,5022233000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-23T09:28:17Z,V2,-19031000.0,154193000.0,2026-08-23T074231Z,,,177483000.0,195802000.0,Q1,2023,95651000.0,385547000.0,104770000.0,114682000.0,177483000.0,2023-03-26,2023-04-27,32979,,1024398000.0,35708938.0,DPZ,5010456000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-18949000.0,77020000.0,2026-08-23T074231Z,,,195403000.0,213964000.0,Q2,2023,108660000.0,404656000.0,109380000.0,127609000.0,195403000.0,2023-06-18,2023-07-24,32978,,1024627000.0,35492423.0,DPZ,5000423000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
