fiscal_quarter,fiscal_year,market_availability_date,period_end_date,publish_date,quarter_id,ticker
Q2,2026,2026-03-30,2026-03-31,2026-03-30,4913,GEF
Q3,2026,2026-06-28,2026-06-30,2026-06-28,4914,GEF
Q4,2024,,2024-12-31,2024-03-28,5175,GRI
Q1,2026,,2026-06-30,2025-08-07,5317,HAE
Q4,2025,,2026-01-31,2025-02-25,5382,HD
Q4,2025,,2025-12-31,2025-02-19,5568,HR
Q4,2025,,2025-12-31,2025-02-25,5606,HSIC
Q4,2024,,2024-12-31,2024-03-18,5707,HYPD
Q4,2025,,2026-01-31,2024-03-07,5891,IMMR
Q4,2025,,2025-12-31,2024-09-18,5935,INBS
Q3,2025,,2024-12-31,2024-12-12,73078,KALV
Q4,2024,,2024-12-31,2024-03-15,6437,KLRS
Q4,2025,,2025-06-30,2024-09-05,7096,LUCK
Q4,2025,,2025-12-31,2025-03-18,7152,LWLG
Q1,2025,,2025-03-31,2024-11-07,7195,LYTS
Q4,2026,,2026-04-30,2025-06-17,7213,LZB
Q3,2021,,2021-09-30,2021-05-10,48865,MCS
Q4,2025,,2025-12-31,2025-03-27,7372,MDAI
Q4,2026,,2026-04-30,2025-05-21,7400,MDT
Q4,2026,,2026-04-30,2025-07-09,7435,MEI
Q4,2024,,2024-12-31,2024-02-28,7635,MMSI
Q4,2025,,2025-09-30,2025-03-13,7647,MNR
Q4,2025,,2026-03-31,2024-05-23,7654,MNRO
Q1,2026,,2026-06-30,2025-07-30,7655,MNRO
Q1,2026,,2026-04-30,2025-05-29,7780,MRVL
Q4,2025,,2025-12-31,2025-02-05,7834,MSTR
Q4,2025,,2025-12-31,2025-03-27,7979,MYSZ
Q4,2025,,2026-01-31,2024-03-26,8037,NCNO
Q4,2025,,2025-12-31,2025-03-24,8133,NGNE
Q4,2024,,2024-12-31,2024-03-18,8469,NWTG
Q4,2024,,2024-12-31,2024-04-15,8626,OLB
Q4,2024,,2024-12-31,2024-05-17,8675,OMEX
Q2,2025,,2025-06-30,2024-08-08,8719,ONTO
Q3,2025,,2025-09-30,2024-10-31,8720,ONTO
Q4,2024,,2024-12-31,2024-04-02,8766,ORBS
Q4,2025,,2025-08-31,2024-10-15,9089,PENG
Q3,2020,,2020-09-26,2020-05-06,57589,PRGO
Q4,2024,,2024-12-31,2024-03-19,9487,PROP
Q4,2025,,2026-01-31,2025-03-31,9627,PVH
Q4,2025,,2025-12-31,2025-02-12,9669,QDEL
Q4,2025,,2026-03-31,2025-05-16,9800,RBC
Q3,2024,,2024-10-31,2024-10-16,59125,RCAT
Q4,2024,,2024-12-31,2023-07-14,10002,RIME
Q1,2026,,2026-06-30,2025-08-07,10028,RL
Q4,2024,,2024-12-31,2024-04-01,10075,RNAZ
Q4,2025,,2025-12-31,2025-01-31,10242,RVTY
Q4,2025,,2025-12-31,2025-02-05,10309,SAFE
Q1,2026,,2026-04-30,2025-06-02,10326,SAIC
Q4,2025,,2026-03-31,2024-05-21,10641,SKY
Q1,2026,,2026-06-30,2025-08-05,10642,SKY
Q4,2025,,2025-12-31,2025-03-18,10730,SLXN
Q4,2024,,2024-12-31,2024-04-01,10958,SPWR
Q1,2025,,2025-03-31,2024-05-15,10959,SPWR
Q2,2025,,2025-06-30,2024-08-14,10960,SPWR
Q3,2025,,2025-09-30,2024-11-18,10961,SPWR
Q4,2025,,2025-12-31,2025-03-31,10972,SQFT
Q4,2025,,2025-12-31,2025-03-18,10987,SRFM
Q4,2026,,2026-06-30,2025-07-29,11121,STX
Q4,2025,,2025-12-31,2025-02-04,11395,TELO
Q1,2026,,2026-04-30,2025-05-21,11491,TJX
Q4,2025,,2025-12-31,2025-03-25,11604,TONX
Q1,2026,,2026-06-30,2025-08-06,11697,TRNS
Q4,2025,,2025-12-31,2025-05-28,11789,TTGT
Q4,2025,,2025-07-31,2024-10-01,11993,UNFI
Q4,2019,,2019-12-31,2019-10-15,73575,USEG
Q1,2025,,2025-03-31,2024-08-05,12230,VIVS
Q2,2025,,2025-06-30,2024-11-08,12231,VIVS
Q4,2025,,2025-12-31,2024-05-10,12233,VIVS
Q4,2025,,2025-09-30,2024-11-21,12387,VSTS
Q4,2024,,2024-12-31,2024-03-28,12840,XPON
Q4,2025,,2025-12-31,2025-03-05,13015,ZYME
